year,title,venue,doi,key
2017,LARM: A Lifetime Aware Regression Model for Predicting YouTube Video Popularity,Proceedings of the 2017 ACM on Conference on Information and Knowledge Management,10.1145/3132847.3132997,10.1145/3132847.3132997
2017,Local Algorithm for User Action Prediction Towards Display Ads,Proceedings of the 23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,10.1145/3097983.3098089,10.1145/3097983.3098089
2017,Modeling Affinity based Popularity Dynamics,Proceedings of the 2017 ACM on Conference on Information and Knowledge Management,10.1145/3132847.3132923,10.1145/3132847.3132923
2017,On Quantifying Predictability in Online Social Media Cascades Using Entropy,Proceedings of the 2017 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining 2017,10.1145/3110025.3110071,10.1145/3110025.3110071
2017,Predicting the Popularity of Online Content with Group-specific Models,Proceedings of the 26th International Conference on World Wide Web Companion,10.1145/3041021.3054242,10.1145/3041021.3054242
2017,Predicting the Success of Online Petitions Leveraging Multidimensional Time-Series,Proceedings of the 26th International Conference on World Wide Web,10.1145/3038912.3052705,10.1145/3038912.3052705
2017,Recipe Popularity Prediction with Deep Visual-Semantic Fusion,Proceedings of the 2017 ACM on Conference on Information and Knowledge Management,10.1145/3132847.3133137,10.1145/3132847.3133137
2017,Taming the Unpredictability of Cultural Markets with Social Influence,Proceedings of the 26th International Conference on World Wide Web,10.1145/3038912.3052680,10.1145/3038912.3052680
2018,Adversarial Training Model Unifying Feature Driven and Point Process Perspectives for Event Popularity Prediction,Proceedings of the 27th ACM International Conference on Information and Knowledge Management,10.1145/3269206.3271714,10.1145/3269206.3271714
2018,Aspect-Aware Latent Factor Model: Rating Prediction with Ratings and Reviews,Proceedings of the 2018 World Wide Web Conference,10.1145/3178876.3186145,10.1145/3178876.3186145
2018,Attention-based Adaptive Model to Unify Warm and Cold Starts Recommendation,Proceedings of the 27th ACM International Conference on Information and Knowledge Management,10.1145/3269206.3271710,10.1145/3269206.3271710
2018,Coevolutionary Recommendation Model: Mutual Learning between Ratings and Reviews,Proceedings of the 2018 World Wide Web Conference,10.1145/3178876.3186158,10.1145/3178876.3186158
2018,Find the Conversation Killers: A Predictive Study of Thread-ending Posts,Proceedings of the 2018 World Wide Web Conference,10.1145/3178876.3186013,10.1145/3178876.3186013
2018,Fine-grained Video Attractiveness Prediction Using Multimodal Deep Learning on a Large Real-world Dataset,Companion Proceedings of the The Web Conference 2018,10.1145/3184558.3186584,10.1145/3184558.3186584
2018,HRAM: A Hybrid Recurrent Attention Machine for News Recommendation,Proceedings of the 27th ACM International Conference on Information and Knowledge Management,10.1145/3269206.3269311,10.1145/3269206.3269311
2018,Heterogeneous Neural Attentive Factorization Machine for Rating Prediction,Proceedings of the 27th ACM International Conference on Information and Knowledge Management,10.1145/3269206.3271759,10.1145/3269206.3271759
2018,I Know You'll Be Back: Interpretable New User Clustering and Churn Prediction on a Mobile Social Application,Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining,10.1145/3219819.3219821,10.1145/3219819.3219821
2018,Learning Multi-touch Conversion Attribution with Dual-attention Mechanisms for Online Advertising,Proceedings of the 27th ACM International Conference on Information and Knowledge Management,10.1145/3269206.3271677,10.1145/3269206.3271677
2018,Leveraging Meta-path based Context for Top- N Recommendation with A Neural Co-Attention Model,Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining,10.1145/3219819.3219965,10.1145/3219819.3219965
2018,Multi-Cast Attention Networks,Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining,10.1145/3219819.3220048,10.1145/3219819.3220048
2018,Multi-Pointer Co-Attention Networks for Recommendation,Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining,10.1145/3219819.3220086,10.1145/3219819.3220086
2018,Neural Attentional Rating Regression with Review-level Explanations,Proceedings of the 2018 World Wide Web Conference,10.1145/3178876.3186070,10.1145/3178876.3186070
2018,Neural gaussian mixture model for review-based rating prediction,Proceedings of the 12th ACM Conference on Recommender Systems,10.1145/3240323.3240353,10.1145/3240323.3240353
2018,Prediction of Sparse User-Item Consumption Rates with Zero-Inflated Poisson Regression,Proceedings of the 2018 World Wide Web Conference,10.1145/3178876.3186153,10.1145/3178876.3186153
2018,Psrec: social recommendation with pseudo ratings,Proceedings of the 12th ACM Conference on Recommender Systems,10.1145/3240323.3240390,10.1145/3240323.3240390
2018,R-VQA: Learning Visual Relation Facts with Semantic Attention for Visual Question Answering,Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining,10.1145/3219819.3220036,10.1145/3219819.3220036
2018,Robust Factorization Machines for User Response Prediction,Proceedings of the 2018 World Wide Web Conference,10.1145/3178876.3186148,10.1145/3178876.3186148
2018,Simultaneous Urban Region Function Discovery and Popularity Estimation via an Infinite Urbanization Process Model,Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining,10.1145/3219819.3219987,10.1145/3219819.3219987
2018,User-guided Hierarchical Attention Network for Multi-modal Social Image Popularity Prediction,Proceedings of the 2018 World Wide Web Conference,10.1145/3178876.3186026,10.1145/3178876.3186026
2018,Who Will Share My Image? Predicting the Content Diffusion Path in Online Social Networks,Proceedings of the Eleventh ACM International Conference on Web Search and Data Mining,10.1145/3159652.3159705,10.1145/3159652.3159705
2018,Will This Video Go Viral: Explaining and Predicting the Popularity of Youtube Videos,Companion Proceedings of the The Web Conference 2018,10.1145/3184558.3186972,10.1145/3184558.3186972
2019,ARP: Aspect-aware Neural Review Rating Prediction,Proceedings of the 28th ACM International Conference on Information and Knowledge Management,10.1145/3357384.3358086,10.1145/3357384.3358086
2019,Attributed Multi-Relational Attention Network for Fact-checking URL Recommendation,Proceedings of the 28th ACM International Conference on Information and Knowledge Management,10.1145/3357384.3358006,10.1145/3357384.3358006
2019,"Black Hat Trolling, White Hat Trolling, and Hacking the Attention Landscape",Companion Proceedings of The 2019 World Wide Web Conference,10.1145/3308560.3317598,10.1145/3308560.3317598
2019,Bridging Models for Popularity Prediction on Social Media,Proceedings of the Twelfth ACM International Conference on Web Search and Data Mining,10.1145/3289600.3291598,10.1145/3289600.3291598
2019,Characterizing and Forecasting User Engagement with In-App Action Graph: A Case Study of Snapchat,Proceedings of the 25th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining,10.1145/3292500.3330750,10.1145/3292500.3330750
2019,Collective embedding for neural context-aware recommender systems,Proceedings of the 13th ACM Conference on Recommender Systems,10.1145/3298689.3347028,10.1145/3298689.3347028
2019,Cross-domain Attention Network with Wasserstein Regularizers for E-commerce Search,Proceedings of the 28th ACM International Conference on Information and Knowledge Management,10.1145/3357384.3357809,10.1145/3357384.3357809
2019,DAML: Dual Attention Mutual Learning between Ratings and Reviews for Item Recommendation,Proceedings of the 25th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining,10.1145/3292500.3330906,10.1145/3292500.3330906
2019,Dual Sequential Prediction Models Linking Sequential Recommendation and Information Dissemination,Proceedings of the 25th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining,10.1145/3292500.3330959,10.1145/3292500.3330959
2019,"Exploiting Ratings, Reviews and Relationships for Item Recommendations in Topic Based Social Networks",The World Wide Web Conference,10.1145/3308558.3313473,10.1145/3308558.3313473
2019,Learning Personalized Topical Compositions with Item Response Theory,Proceedings of the Twelfth ACM International Conference on Web Search and Data Mining,10.1145/3289600.3291022,10.1145/3289600.3291022
2019,Leveraging Ratings and Reviews with Gating Mechanism for Recommendation,Proceedings of the 28th ACM International Conference on Information and Knowledge Management,10.1145/3357384.3357919,10.1145/3357384.3357919
2019,Neural Review Rating Prediction with User and Product Memory,Proceedings of the 28th ACM International Conference on Information and Knowledge Management,10.1145/3357384.3358138,10.1145/3357384.3358138
2019,PerDREP: Personalized Drug Effectiveness Prediction from Longitudinal Observational Data,Proceedings of the 25th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining,10.1145/3292500.3330928,10.1145/3292500.3330928
2019,Social Attentional Memory Network: Modeling Aspect- and Friend-Level Differences in Recommendation,Proceedings of the Twelfth ACM International Conference on Web Search and Data Mining,10.1145/3289600.3290982,10.1145/3289600.3290982
2020,A GAN-based Framework for Modeling Hashtag Popularity Dynamics Using Assistive Information,Proceedings of the 29th ACM International Conference on Information &amp; Knowledge Management,10.1145/3340531.3412025,10.1145/3340531.3412025
2020,A Multimodal Variational Encoder-Decoder Framework for Micro-video Popularity Prediction,Proceedings of The Web Conference 2020,10.1145/3366423.3380004,10.1145/3366423.3380004
2020,A Stacking Ensemble Model for Prediction of Multi-type Tweet Engagements,Proceedings of the Recommender Systems Challenge 2020,10.1145/3415959.3415994,10.1145/3415959.3415994
2020,A generalized fractional program for maximizing content popularity in online social networks,Proceedings of the 2018 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,,10.5555/3382225.3382409
2020,Combining Rating and Review Data by Initializing Latent Factor Models with Topic Models for Top-N Recommendation,Proceedings of the 14th ACM Conference on Recommender Systems,10.1145/3383313.3412207,10.1145/3383313.3412207
2020,Data-driven country safety monitoring terrorist attack prediction,Proceedings of the 2019 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,10.1145/3341161.3343527,10.1145/3341161.3343527
2020,Deep Exogenous and Endogenous Influence Combination for Social Chatter Intensity Prediction,Proceedings of the 26th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining,10.1145/3394486.3403251,10.1145/3394486.3403251
2020,Deep Time-Aware Item Evolution Network for Click-Through Rate Prediction,Proceedings of the 29th ACM International Conference on Information &amp; Knowledge Management,10.1145/3340531.3411952,10.1145/3340531.3411952
2020,Describing and Predicting Online Items with Reshare Cascades via Dual Mixture Self-exciting Processes,Proceedings of the 29th ACM International Conference on Information &amp; Knowledge Management,10.1145/3340531.3411861,10.1145/3340531.3411861
2020,DisenHAN: Disentangled Heterogeneous Graph Attention Network for Recommendation,Proceedings of the 29th ACM International Conference on Information &amp; Knowledge Management,10.1145/3340531.3411996,10.1145/3340531.3411996
2020,Dual Learning for Explainable Recommendation: Towards Unifying User Preference Prediction and Review Generation,Proceedings of The Web Conference 2020,10.1145/3366423.3380164,10.1145/3366423.3380164
2020,Dual-attentional Factorization-Machines based Neural Network for User Response Prediction,Companion Proceedings of the Web Conference 2020,10.1145/3366424.3382680,10.1145/3366424.3382680
2020,Dynamic Heterogeneous Graph Neural Network for Real-time Event Prediction,Proceedings of the 26th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining,10.1145/3394486.3403373,10.1145/3394486.3403373
2020,Earn More Social Attention: User Popularity Based Tag Recommendation System,Companion Proceedings of the Web Conference 2020,10.1145/3366424.3383543,10.1145/3366424.3383543
2020,Field-aware Calibration: A Simple and Empirically Strong Method for Reliable Probabilistic Predictions,Proceedings of The Web Conference 2020,10.1145/3366423.3380154,10.1145/3366423.3380154
2020,Improving the Estimation of Tail Ratings in Recommender System with Multi-Latent Representations,Proceedings of the 13th International Conference on Web Search and Data Mining,10.1145/3336191.3371810,10.1145/3336191.3371810
2020,Inf-VAE: A Variational Autoencoder Framework to Integrate Homophily and Influence in Diffusion Prediction,Proceedings of the 13th International Conference on Web Search and Data Mining,10.1145/3336191.3371811,10.1145/3336191.3371811
2020,Inferring the Causal Impact of New Track Releases on Music Recommendation Platforms through Counterfactual Predictions,Proceedings of the 14th ACM Conference on Recommender Systems,10.1145/3383313.3418491,10.1145/3383313.3418491
2020,Keeping out the Masses: Understanding the Popularity and Implications of Internet Paywalls,Proceedings of The Web Conference 2020,10.1145/3366423.3380217,10.1145/3366423.3380217
2020,"Knowing your FATE: Friendship, Action and Temporal Explanations for User Engagement Prediction on Social Apps",Proceedings of the 26th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining,10.1145/3394486.3403276,10.1145/3394486.3403276
2020,Learning Bi-directional Social Influence in Information Cascades using Graph Sequence Attention Networks,Companion Proceedings of the Web Conference 2020,10.1145/3366424.3382677,10.1145/3366424.3382677
2020,Multi-Objective Blended Ensemble For Highly Imbalanced Sequence Aware Tweet Engagement Prediction,Proceedings of the Recommender Systems Challenge 2020,10.1145/3415959.3415998,10.1145/3415959.3415998
2020,Popularity Prediction on Social Platforms with Coupled Graph Neural Networks,Proceedings of the 13th International Conference on Web Search and Data Mining,10.1145/3336191.3371834,10.1145/3336191.3371834
2020,Predicting highly rated crowdfunded products,Proceedings of the 2018 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,,10.5555/3382225.3382300
2020,Product popularity modeling via time series embedding,Proceedings of the 2018 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,,10.5555/3382225.3382369
2020,Quantifying Engagement with Citations on Wikipedia,Proceedings of The Web Conference 2020,10.1145/3366423.3380300,10.1145/3366423.3380300
2020,RecSys 2020 Challenge Workshop: Engagement Prediction on Twitter’s Home Timeline,Proceedings of the 14th ACM Conference on Recommender Systems,10.1145/3383313.3411532,10.1145/3383313.3411532
2020,TAFA: Two-headed Attention Fused Autoencoder for Context-Aware Recommendations,Proceedings of the 14th ACM Conference on Recommender Systems,10.1145/3383313.3412268,10.1145/3383313.3412268
2020,"The Connection Between Popularity Bias, Calibration, and Fairness in Recommendation",Proceedings of the 14th ACM Conference on Recommender Systems,10.1145/3383313.3418487,10.1145/3383313.3418487
2021,Analyzing Item Popularity Bias of Music Recommender Systems: Are Different Genders Equally Affected?,Proceedings of the 15th ACM Conference on Recommender Systems,10.1145/3460231.3478843,10.1145/3460231.3478843
2021,AttentionFlow: Visualising Influence in Networks of Time Series,Proceedings of the 14th ACM International Conference on Web Search and Data Mining,10.1145/3437963.3441703,10.1145/3437963.3441703
2021,Beyond Point Estimate: Inferring Ensemble Prediction Variation from Neuron Activation Strength in Recommender Systems,Proceedings of the 14th ACM International Conference on Web Search and Data Mining,10.1145/3437963.3441770,10.1145/3437963.3441770
2021,CauSeR: Causal Session-based Recommendations for Handling Popularity Bias,Proceedings of the 30th ACM International Conference on Information &amp; Knowledge Management,10.1145/3459637.3482071,10.1145/3459637.3482071
2021,Combating Selection Biases in Recommender Systems with a Few Unbiased Ratings,Proceedings of the 14th ACM International Conference on Web Search and Data Mining,10.1145/3437963.3441799,10.1145/3437963.3441799
2021,DCAP: Deep Cross Attentional Product Network for User Response Prediction,Proceedings of the 30th ACM International Conference on Information &amp; Knowledge Management,10.1145/3459637.3482246,10.1145/3459637.3482246
2021,Deep Inclusion Relation-aware Network for User Response Prediction at Fliggy,Proceedings of the 27th ACM SIGKDD Conference on Knowledge Discovery &amp; Data Mining,10.1145/3447548.3467111,10.1145/3447548.3467111
2021,HINTS: Citation Time Series Prediction for New Publications via Dynamic Heterogeneous Information Network Embedding,Proceedings of the Web Conference 2021,10.1145/3442381.3450107,10.1145/3442381.3450107
2021,Interpretable Drug Response Prediction using a Knowledge-based Neural Network,Proceedings of the 27th ACM SIGKDD Conference on Knowledge Discovery &amp; Data Mining,10.1145/3447548.3467212,10.1145/3447548.3467212
2021,Model-Agnostic Counterfactual Reasoning for Eliminating Popularity Bias in Recommender System,Proceedings of the 27th ACM SIGKDD Conference on Knowledge Discovery &amp; Data Mining,10.1145/3447548.3467289,10.1145/3447548.3467289
2021,Neural Information Diffusion Prediction with Topic-Aware Attention Network,Proceedings of the 30th ACM International Conference on Information &amp; Knowledge Management,10.1145/3459637.3482374,10.1145/3459637.3482374
2021,Popcorn: Human-in-the-loop Popularity Debiasing in Conversational Recommender Systems,Proceedings of the 30th ACM International Conference on Information &amp; Knowledge Management,10.1145/3459637.3482461,10.1145/3459637.3482461
2021,Popularity Bias in Dynamic Recommendation,Proceedings of the 27th ACM SIGKDD Conference on Knowledge Discovery &amp; Data Mining,10.1145/3447548.3467376,10.1145/3447548.3467376
2021,Popularity-Enhanced News Recommendation with Multi-View Interest Representation,Proceedings of the 30th ACM International Conference on Information &amp; Knowledge Management,10.1145/3459637.3482462,10.1145/3459637.3482462
2021,Popularity-Opportunity Bias in Collaborative Filtering,Proceedings of the 14th ACM International Conference on Web Search and Data Mining,10.1145/3437963.3441820,10.1145/3437963.3441820
2021,Predicting Paper Acceptance via Interpretable Decision Sets,Companion Proceedings of the Web Conference 2021,10.1145/3442442.3451370,10.1145/3442442.3451370
2021,"Quantifying Assimilate-Contrast Effects in Online Rating Systems: Modeling, Analysis and Application",Proceedings of the 27th ACM SIGKDD Conference on Knowledge Discovery &amp; Data Mining,10.1145/3447548.3467244,10.1145/3447548.3467244
2021,RecSys 2021 Challenge Workshop: Fairness-aware engagement prediction at scale on Twitter’s Home Timeline,Proceedings of the 15th ACM Conference on Recommender Systems,10.1145/3460231.3478515,10.1145/3460231.3478515
2021,Retrieval &amp; Interaction Machine for Tabular Data Prediction,Proceedings of the 27th ACM SIGKDD Conference on Knowledge Discovery &amp; Data Mining,10.1145/3447548.3467216,10.1145/3447548.3467216
2021,Review-Aware Neural Recommendation with Cross-Modality Mutual Attention,Proceedings of the 30th ACM International Conference on Information &amp; Knowledge Management,10.1145/3459637.3482172,10.1145/3459637.3482172
2021,Spatio-Temporal-Social Multi-Feature-based Fine-Grained Hot Spots Prediction for Content Delivery Services in 5G Era,Proceedings of the 30th ACM International Conference on Information &amp; Knowledge Management,10.1145/3459637.3482298,10.1145/3459637.3482298
2021,Synerise at RecSys 2021: Twitter user engagement prediction with a fast neural model,Proceedings of the Recommender Systems Challenge 2021,10.1145/3487572.3487599,10.1145/3487572.3487599
2022,A Graph Temporal Information Learning Framework for Popularity Prediction,Companion Proceedings of the Web Conference 2022,10.1145/3487553.3524231,10.1145/3487553.3524231
2022,A Gumbel-based Rating Prediction Framework for Imbalanced Recommendation,Proceedings of the 31st ACM International Conference on Information &amp; Knowledge Management,10.1145/3511808.3557341,10.1145/3511808.3557341
2022,Analyzing topic attention in online small groups,Proceedings of the 2021 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,10.1145/3487351.3488357,10.1145/3487351.3488357
2022,CoRGi: Content-Rich Graph Neural Networks with Attention,Proceedings of the 28th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,10.1145/3534678.3539306,10.1145/3534678.3539306
2022,Community Trend Prediction on Heterogeneous Graph in E-commerce,Proceedings of the Fifteenth ACM International Conference on Web Search and Data Mining,10.1145/3488560.3498522,10.1145/3488560.3498522
2022,Context and Attribute-Aware Sequential Recommendation via Cross-Attention,Proceedings of the 16th ACM Conference on Recommender Systems,10.1145/3523227.3546777,10.1145/3523227.3546777
2022,Countering Popularity Bias by Regularizing Score Differences,Proceedings of the 16th ACM Conference on Recommender Systems,10.1145/3523227.3546757,10.1145/3523227.3546757
2022,Deconfounding Duration Bias in Watch-time Prediction for Video Recommendation,Proceedings of the 28th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,10.1145/3534678.3539092,10.1145/3534678.3539092
2022,FedCDR: Federated Cross-Domain Recommendation for Privacy-Preserving Rating Prediction,Proceedings of the 31st ACM International Conference on Information &amp; Knowledge Management,10.1145/3511808.3557320,10.1145/3511808.3557320
2022,From #jobsearch to #mask: improving COVID-19 cascade prediction with spillover effects,Proceedings of the 2021 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,10.1145/3487351.3488555,10.1145/3487351.3488555
2022,Knowledge-based Temporal Fusion Network for Interpretable Online Video Popularity Prediction,Proceedings of the ACM Web Conference 2022,10.1145/3485447.3511934,10.1145/3485447.3511934
2022,Making Decision like Human: Joint Aspect Category Sentiment Analysis and Rating Prediction with Fine-to-Coarse Reasoning,Proceedings of the ACM Web Conference 2022,10.1145/3485447.3512024,10.1145/3485447.3512024
2022,Multi-task Envisioning Transformer-based Autoencoder for Corporate Credit Rating Migration Early Prediction,Proceedings of the 28th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,10.1145/3534678.3539098,10.1145/3534678.3539098
2022,PREP: Pre-training with Temporal Elapse Inference for Popularity Prediction,Companion Proceedings of the Web Conference 2022,10.1145/3487553.3524249,10.1145/3487553.3524249
2022,Predicting Spatial Spread on Social Media,Companion Proceedings of the Web Conference 2022,10.1145/3487553.3524646,10.1145/3487553.3524646
2022,Quantifying and Mitigating Popularity Bias in Conversational Recommender Systems,Proceedings of the 31st ACM International Conference on Information &amp; Knowledge Management,10.1145/3511808.3557423,10.1145/3511808.3557423
2022,Rating Distribution Calibration for Selection Bias Mitigation in Recommendations,Proceedings of the ACM Web Conference 2022,10.1145/3485447.3512078,10.1145/3485447.3512078
2022,RecSys Challenge 2022: Fashion Purchase Prediction,Proceedings of the 16th ACM Conference on Recommender Systems,10.1145/3523227.3552534,10.1145/3523227.3552534
2022,"Recommendation as Language Processing (RLP): A Unified Pretrain, Personalized Prompt &amp; Predict Paradigm (P5)",Proceedings of the 16th ACM Conference on Recommender Systems,10.1145/3523227.3546767,10.1145/3523227.3546767
2022,Sequential Recommendation via Stochastic Self-Attention,Proceedings of the ACM Web Conference 2022,10.1145/3485447.3512077,10.1145/3485447.3512077
2022,Successful New-entry Prediction for Multi-Party Online Conversations via Latent Topics and Discourse Modeling,Proceedings of the ACM Web Conference 2022,10.1145/3485447.3512285,10.1145/3485447.3512285
2022,Temporal dynamics of posts and user engagement of influencers on Facebook and Instagram,Proceedings of the 2021 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,10.1145/3487351.3488340,10.1145/3487351.3488340
2022,Will This Online Shopping Session Succeed? Predicting Customer's Purchase Intention Using Embeddings,Proceedings of the 31st ACM International Conference on Information &amp; Knowledge Management,10.1145/3511808.3557127,10.1145/3511808.3557127
2023,AFRF: Angle Feature Retrieval Based Popularity Forecasting,Proceedings of the 32nd ACM International Conference on Information and Knowledge Management,10.1145/3583780.3614776,10.1145/3583780.3614776
2023,Attention Calibration for Transformer-based Sequential Recommendation,Proceedings of the 32nd ACM International Conference on Information and Knowledge Management,10.1145/3583780.3614785,10.1145/3583780.3614785
2023,Balancing Unobserved Confounding with a Few Unbiased Ratings in Debiased Recommendations,Proceedings of the ACM Web Conference 2023,10.1145/3543507.3583495,10.1145/3543507.3583495
2023,Capturing Popularity Trends: A Simplistic Non-Personalized Approach for Enhanced Item Recommendation,Proceedings of the 32nd ACM International Conference on Information and Knowledge Management,10.1145/3583780.3614801,10.1145/3583780.3614801
2023,Community-based Dynamic Graph Learning for Popularity Prediction,Proceedings of the 29th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,10.1145/3580305.3599281,10.1145/3580305.3599281
2023,Contextual Response Interpretation for Automated Structured Interviews: A Case Study in Market Research,Companion Proceedings of the ACM Web Conference 2023,10.1145/3543873.3587657,10.1145/3543873.3587657
2023,DIGMN: Dynamic Intent Guided Meta Network for Differentiated User Engagement Forecasting in Online Professional Social Platforms,Proceedings of the Sixteenth ACM International Conference on Web Search and Data Mining,10.1145/3539597.3570420,10.1145/3539597.3570420
2023,DREAM: Decoupled Representation via Extraction Attention Module and Supervised Contrastive Learning for Cross-Domain Sequential Recommender,Proceedings of the 17th ACM Conference on Recommender Systems,10.1145/3604915.3608780,10.1145/3604915.3608780
2023,Enhancing Information Diffusion Prediction with Self-Supervised Disentangled User and Cascade Representations,Proceedings of the 32nd ACM International Conference on Information and Knowledge Management,10.1145/3583780.3615230,10.1145/3583780.3615230
2023,Evaluating The Effects of Calibrated Popularity Bias Mitigation: A Field Study,Proceedings of the 17th ACM Conference on Recommender Systems,10.1145/3604915.3610637,10.1145/3604915.3610637
2023,Fresh Content Needs More Attention: Multi-funnel Fresh Content Recommendation,Proceedings of the 29th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,10.1145/3580305.3599826,10.1145/3580305.3599826
2023,Integrating Explicit and Implicit Feature Interactions for Online Ad Installation Forecasting,Proceedings of the Recommender Systems Challenge 2023,10.1145/3626221.3626223,10.1145/3626221.3626223
2023,Invariant Collaborative Filtering to Popularity Distribution Shift,Proceedings of the ACM Web Conference 2023,10.1145/3543507.3583461,10.1145/3543507.3583461
2023,Lightweight Boosting Models for User Response Prediction Using Adversarial Validation,Proceedings of the Recommender Systems Challenge 2023,10.1145/3626221.3626225,10.1145/3626221.3626225
2023,Path-specific Causal Fair Prediction via Auxiliary Graph Structure Learning,Proceedings of the ACM Web Conference 2023,10.1145/3543507.3583280,10.1145/3543507.3583280
2023,PopDCL: Popularity-aware Debiased Contrastive Loss for Collaborative Filtering,Proceedings of the 32nd ACM International Conference on Information and Knowledge Management,10.1145/3583780.3615009,10.1145/3583780.3615009
2023,Popularity-aware Distributionally Robust Optimization for Recommendation System,Proceedings of the 32nd ACM International Conference on Information and Knowledge Management,10.1145/3583780.3615492,10.1145/3583780.3615492
2023,Rec4Ad: A Free Lunch to Mitigate Sample Selection Bias for Ads CTR Prediction in Taobao,Proceedings of the 32nd ACM International Conference on Information and Knowledge Management,10.1145/3583780.3615496,10.1145/3583780.3615496
2023,Search-based Recommendation: the Case for Difficult Predictions,Companion Proceedings of the ACM Web Conference 2023,10.1145/3543873.3587374,10.1145/3543873.3587374
2023,Separating Examination and Trust Bias from Click Predictions for Unbiased Relevance Ranking,Proceedings of the Sixteenth ACM International Conference on Web Search and Data Mining,10.1145/3539597.3570393,10.1145/3539597.3570393
2023,Test-Time Embedding Normalization for Popularity Bias Mitigation,Proceedings of the 32nd ACM International Conference on Information and Knowledge Management,10.1145/3583780.3615281,10.1145/3583780.3615281
2023,Text Matching Improves Sequential Recommendation by Reducing Popularity Biases,Proceedings of the 32nd ACM International Conference on Information and Knowledge Management,10.1145/3583780.3615077,10.1145/3583780.3615077
2023,Tree based Progressive Regression Model for Watch-Time Prediction in Short-video Recommendation,Proceedings of the 29th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,10.1145/3580305.3599919,10.1145/3580305.3599919
2023,What We Evaluate When We Evaluate Recommender Systems: Understanding Recommender Systems’ Performance using Item Response Theory,Proceedings of the 17th ACM Conference on Recommender Systems,10.1145/3604915.3608809,10.1145/3604915.3608809
2024,A Clone-based Analysis of the Content-Agnostic Factors Driving News Article Popularity on Twitter,Proceedings of the 2023 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,10.1145/3625007.3627520,10.1145/3625007.3627520
